Preferred Label;Synonyms;Definitions
mixed astrocytoma-ependymoma;;
mixed astrocytoma-ependymoma-oligodendroglioma;;
mixed cell adenocarcinoma;mixed cell adenocarcinoma morphologic abnormality|mixed cell adenocarcinoma;
mixed cell adenoma;;
mixed cell type adenoma of parathyroid;mixed cell type adenoma of the Parathyroid gland;
mixed cell type cancer;mixed tumor|malignant mixed cancer|malignant mixed neoplasm|mixed tumor, malignant, NOS morphologic abnormality|mixed tumor, malignant morphologic abnormality|mixed neoplasm|malignant mixed tumor;A cell type cancer that has_material_basis_in abnormally proliferating cells derives_from two germinal layers of tissue.
mixed cell type kidney Wilms' tumor;mixed cell type renal Wilms tumor;
mixed cell uveal melanoma;;
mixed cerebral palsy;;A cerebral palsy that is caused by injury to both the pyramidal and extra pyramidal areas of the brain, which results in both the tight muscle tone and the involuntary movements. The individual have difficulty with speaking and swallowing.
mixed childhood rhabdomyosarcoma;pediatric mixed type Rhabdomyosarcoma;
mixed choriocarcinoma and embryonal carcinoma of the testis;mixed Choriocarcinoma and Embryonal carcinoma of testis;
mixed choriocarcinoma and seminoma of the testis;mixed Choriocarcinoma and Seminoma of testis;
mixed choriocarcinoma and teratoma of the testis;mixed Choriocarcinoma and teratoma of testis;
mixed connective tissue disease;Connective tissue disease overlap syndrome disorder|mixed collagen vascular disease disorder;A collagen disease that is considered an overlap of three diseases, systemic lupus erythematosus, scleroderma, and polymyositis with very high titers of circulating antinuclear antibody to a ribonucleoprotein antigen.
mixed disorder as reaction to stress;;
mixed ductal-endocrine carcinoma;;
mixed embryonal carcinoma and endodermal sinus neoplasm of the testis;testicular mixed Embryonal carcinoma and Yolk Sac tumor;
mixed embryonal carcinoma and endodermal sinus neoplasm with seminoma of the testis;mixed Embryonal carcinoma and Yolk Sac tumor with Seminoma of testis;
mixed embryonal carcinoma and seminoma of the testis;mixed Embryonal carcinoma and Seminoma of testis;
mixed embryonal carcinoma and teratoma of the mediastinum;Teratocarcinoma of mediastinum;
mixed embryonal carcinoma and teratoma of the testis;mixed Embryonal carcinoma and teratoma of testis;
mixed embryonal carcinoma and teratoma with seminoma of the testis;mixed Embryonal carcinoma and teratoma with Seminoma of testis;
mixed endodermal sinus neoplasm and teratoma of the testis;mixed Yolk Sac tumor and teratoma of testis;
mixed endodermal sinus neoplasm and teratoma with seminoma of the testis;mixed Yolk Sac tumor and teratoma with Seminoma of testis;
mixed endometrial stromal and smooth muscle tumor;Stromomyoma;
mixed eosinophil-basophil adenoma;mixed acidophil-basophil adenoma morphologic abnormality;
mixed eosinophil-basophil carcinoma;mixed acidophil-basophil carcinoma morphologic abnormality;
mixed epithelial stromal tumour;;
mixed epithelial tumor of ovary;Ovarian mixed epithelial tumor|mixed epithelial tumor of ovary disorder;
mixed epithelial/mesenchymal metaplastic breast carcinoma;;
mixed extragonadal germ cell cancer;;A mixed germ cell cancer that is located_in areas of the body other than the ovary or testicle.
mixed fibrolamellar hepatocellular carcinoma;;A fibrolamellar carcinoma that is characteirzed by the presence of both pure fibrolamellar hepatocellular carcinoma and and conventional hepatocellular carcinoma components.
mixed germ cell cancer;mixed germ cell tumour|mixed teratoma and Seminoma|mixed germ cell neoplasm|mixed teratoma and seminoma;A germ cell cancer that occurs in many forms.
mixed germ cell-sex cord neoplasm;mixed germ cell-sex cord-stromal tumor morphologic abnormality|mixed germ cell-Sex Cord tumor;
mixed glioma;mixed gliomas|mixed Neuroglial tumor|mixed glioma morphologic abnormality;
mixed gonadal dysgenesis;;
mixed hepatoblastoma;mixed epithelial and mesenchymal hepatoblastoma;
mixed hepatoblastoma with teratoid features;;
mixed lacrimal gland cancer;carcinoma Ex Pleomorphic adenoma of the lacrimal gland|malignant mixed neoplasm of lacrimal gland|carcinoma ex pleomorphic adenoma of lacrimal gland disorder;
mixed liposarcoma;mixed liposarcoma morphologic abnormality;
mixed malaria;malaria by more than one parasite|Malaria fever by more than one parasite;A malaria that involves infection with more than one species of Plasmodium at the same time.
mixed mineral dust pneumoconiosis;;
mixed mucinous and nonmucinous bronchioloalveolar adenocarcinoma;indeterminate bronchioloalveolar carcinoma|mixed mucinous and non-mucinous bronchioloalveolar adenocarcinoma;A bronchiolo-alveolar adenocarcinoma that is characterized by a mixed array of different patterns (acinar, papillary, bronchioloalveolar, solid with mucin).
mixed mucinous and non-mucinous bronchioloalveolar lung carcinoma;mixed mucinous and Non-mucinous Bronchoalveolar lung carcinoma;
mixed oligodendroglioma-astrocytoma;WHO grade II mixed glioma;
mixed receptive-expressive language disorder;;A communication disorder that involves both the receptive and expressive areas of communication may be affected in any degree, from mild to severe.
mixed testicular germ cell tumor;mixed germ cell tumor of testis;A mixed germ cell cancer that is located_in the testis.
mixed type rhabdomyosarcoma;mixed embryonal rhabdomyosarcoma and alveolar rhabdomyosarcoma|mixed type Rhabdomyosarcoma;
mixed type thymoma;Thymoma, mixed type;
mixed-type liposarcoma;;
Mobitz type II atrioventricular block;Mobitz type II atrioventricular block|Mobitz II atrioventricular block|Mobitz type II atrioventricular block disorder;
Mobius syndrome;Oromandibular-limb hypogenesis spectrum|Moebius congenital oculofacial paralysis;A facial nerve disease characterized by congenital, uni- or bilateral, non-progressive facial weakness and limited abduction of the eye(s).|OMIM mapping confirmed by DO. [SN].
moderate degree recurrent episode manic disease;;
moderate recurrent major depression;Major depressive disorder, recurrent episode, moderate degree|recurrent depressive disorder, current episode moderate disorder|Moderate recurrent major depression disorder;
mollusc allergy;;A shellfish allergy triggered by Mollusca.
molluscum contagiosum;;A viral infectious disease that results_in infection located_in skin, has_material_basis_in Molluscum contagiosum virus, which is transmitted_by contact with the skin, and transmitted_by fomites. The infection has_symptom lesions which are flesh-colored with a pit in the center.
Monckeberg arteriosclerosis;;
mongolian spot;Mongolian Macula;
monieziasis;;A parasitic helminthiasis infectious disease that involves zoonotic infection caused by Moniezia expansa, the common tapeworm of sheep.
monilethrix;;OMIM mapping confirmed by DO. [SN].
monkeypox;;A viral infectious disease that results_in infection of primates, rodents and humans, located_in skin, has_material_basis_in Monkeypox virus, which is transmitted_by contact with the animal's blood, body fluids, rash, or with the body fluids of a sick person, transmitted_by fomites, and transmitted_by respiratory droplets. The infection has_symptom fever, has_symptom muscle ache, has_symptom headache, and has_symptom lymphadenopathy.
monoclonal gammopathy of uncertain significance;MGUS|Monoclonal gammopathy of undetermined significance morphologic abnormality|Monoclonal gammopathy of uncertain significance disorder;
monoclonal paraproteinemia;Monoclonal paraproteinaemia|Monoclonal paraproteinemia disorder|Monoclonal Paraproteinemia;
monocular esotropia;;
monocular esotropia with A pattern;Monocular esotropia with A pattern disorder;
monocular esotropia with V pattern;Monocular esotropia with V pattern disorder;
monocular exotropia;;
monocular exotropia with A pattern;Monocular exotropia with A pattern disorder;
monocular exotropia with V pattern;Monocular exotropia with V pattern disorder;
monocytic leukemia;Schilling's leukemia;
monodermal teratoma;Monodermal teratoma morphologic abnormality|Ovarian Monodermal teratoma;
monofixation syndrome;;
monogenic disease;;A genetic disease that is the result of one or more abnormal alleles and may be dominant (a single copy of the abnormal allele is sufficient to give rise to the disease), semi-dominant, or recessive (requiring both copies of the gene to have an abnormal allele).
monomorphic B-cell PTLD;;
monomorphic PTLD;;
monomorphic T-cell PTLD;;
Mononegavirales infectious disease;;A (-)ssRNA virus infectious disease that results_in infection in humans, has_material_basis_in Mononegavirales viruses.
Mononen-Karnes-Senac syndrome;short and abducted thumbs and great toes|Mononen type brachydactyly;A brachydactyly characterized by short, abducted thumbs and great toes.
mononeuritis;;
mononeuritis multiplex;Mononeuritis multiplex|Mononeuritis multiplex disorder;
mononeuritis of lower limb;;
mononeuritis of upper limb;Mononeuritis upper limb NOS disorder|Mononeuritis of upper limb, unspecified|Mononeuritis of upper limb disorder;
mononeuritis of upper limb and mononeuritis multiplex;;
mononeuropathy;;A neuropathy that is characterized by damage to a single nerve, which results in loss of movement, sensation, or other function of that nerve.
monophasic synovial sarcoma;Monophasic sarcoma of Synovium;
mood disorder;episodic mood disorder;A cognitive disorder that involves an excessive, irrational dread of everyday situations.|Updating outdated UMLS CUI.
Mooren's ulcer;Mooren ulcer;
morbid obesity;Severe obesity;
Morbillivirus infectious disease;;A Paramyxoviridae infectious disease that results_in infection in dogs, seals, cattle and humans, has_material_basis_in Morbillivirus.
Morgagni cataract;hypermature cataract;
Morganella morganii intestinal infectious disease;;An opportunistic bacterial infectious disease that involves infection of the intestine caused by Morganella morganii.
morpheaform basal cell carcinoma;Cicatricial basal-cell carcinoma|Morphea-type Sclerosing Basal cell carcinoma|Basal cell carcinoma, morphea;
morphine dependence;;An opiate dependence that involves the continued use of morphine despite despite problems related to use of the substance.
mosaic variegated aneuploidy syndrome ;;
mosaic variegated aneuploidy syndrome ;;
motility-related diarrhea;;Motility-related diarrhea is a diarrhea which is caused by the rapid movement of food through the intestines (hypermotility). If the food moves too quickly through the GI tract, there is not enough time for sufficient nutrients and water to be absorbed.
motion sickness;Travel Sickness;OMIM mapping confirmed by DO. [SN].
motor neuritis;peripheral motor Neuropathy|peripheral motor neuropathy disorder;
motor neuron disease;;A neurodegenerative disease that is located_in the motor neurones.
motor peripheral neuropathy;Hereditary motor and sensory neuropathy|HSMN|neuropathic muscular atrophy|HSMN - Hereditary sensory and motor neuropathy;
mouth disease;;A gastrointestinal system disease that is located_in the mouth.
movement disease;;
Mowat-Wilson syndrome;microcephaly, mental retardation, and distinct facial featrues, with or without Hirschprung disease|Hirschsprung disease mental retardation syndrome;A syndrome characterized by a distinct facial phenotype (high forehead, frontal bossing, large eyebrows, medially flaring and sparse in the middle part, hypertelorism, deep set but large eyes, large and uplifted ear lobes, with a central depression, saddle nose with prominent rounded nasal tip, prominent columella, open mouth, with M-shaped upper lip, frequent smiling, and a prominent but narrow and triangular pointed chin), moderate-to-severe intellectual deficiency, epilepsy and variable congenital malformations including Hirschsprung disease, genitourinary anomalies (in particular hypospadias in males), congenital heart defects, agenesis of the corpus callosum and eye anomalies. It has material basis in de novo heterozygous mutation in the ZEB2 gene on chromosome 2q22.
