Preferred Label;Synonyms
pelvis connective tissue;pelvis textus connectivus|portion of connective tissue of pelvis|textus connectivus of pelvis|connective tissue of pelvis|pelvis portion of connective tissue
respiratory gaseous exchange;
cardiac neuron;
proximo-distal subdivision of respiratory tract;subdivision of respiratory tract|respiratory tract
epidermal cell (sensu arthropoda);
vasculature of brain;intracerebral vasculature|brain vasculature|cerebrovascular system
CD34-positive, CD38-positive granulocyte monocyte progenitor;
cell chemotaxis;
chordamesodermal cell;axial mesodermal cell
interleukin-1 receptor-like 1;protein ST2|lymphocyte antigen 84|protein T1|IL1RL1|T1|DER4|Ly84|ST2|Ste2
outer ear epithelium;
dermal dendritic cell;
alpha-(1,3)-fucosyltransferase FUT4;galactoside 3-L-fucosyltransferase|fucosyltransferase FUT4|FucT-IV|fucosyltransferase IV|fucosyltransferase 4|Fuc-TIV|ELAM-1 ligand fucosyltransferase|CD15|FUT4|FCT3A|ELFT
optic neural crest;
odontoid tissue;odontogenic tissue|substance of tooth|tooth substance|portion of substance of tooth|tooth hard tissue|tooth tissue|dental tissue
auditory system;
fibroblast of villous mesenchyme;
CD27-low, CD11b-low immature natural killer cell;preNK.BM
kidney capillary endothelial cell;
trunk mesenchyme;trunk and cervical mesenchyme
eukaryotic cell;
tanycyte;stretch cell
brush cell of terminal bronchiole;
megakaryocyte-erythroid progenitor cell;Meg/E progenitor|colony forming unit erythroid megakaryocyte|megakaryocyte/erythrocyte progenitor|CFU-EM|MEP|CFU-MegE|megakaryocyte/erythroid progenitor cell
intersomitic artery;intersegmental artery|intersegmental arteries
organ;anatomical unit|element|body organ
lingual septum;septum of tongue|septum of tongue|tongue septum|median fibrous septum
brush border epithelial cell;
stratified keratinized epithelial stem cell;
submucosa of sigmoid colon;sigmoid colon submucosa
eye primordium;ocular primordium|optic placode of camera-type eye|occular primordium|eye placode|optic primordium|optic placode|optic placodes|eye field|eye anlage|optic field
mature basophil;polymorphonuclear leucocyte|polymorphonuclear leukocyte|mature basophil leukocyte|mature basophil leucocyte
pancreatic epithelial bud;pancreatic buds|pancreatic bud|pancreatic anlage|pancreas epithelium
esophageal sphincter;
large luteal cell;granulosa lutein cell|granulosoluteocytus
multinucleate conidium;
arborizing epithelial duct system;arborising epithelial duct system
obsolete sclerenchyma cell;
kidney venous blood vessel cell;
intestinal villus;enteric villi|enteric villus|villus intestinalis (intestinum tenue)|enteric villous|villi intestinales|intestinal villi|villus|small intestine villus|villi intestinales|intestinal villus layer
hindlimb long bone;long bone of inferior member|long bone of hind limb|inferior member long bone|long bone of hindlimb|hind limb long bone|lower extremity long bone|long bone of lower extremity
anterior chamber epithelium;
basal cell of urothelium;
decidua cell;
MHC class Ib receptor activity;
establishment of protein localization;
endothelial cell of lymphatic vessel;LEC|lymphatic endothelial cell
negative regulation of developmental process;
alpha-beta intraepithelial T cell;intraepithelial lymphocyte|IEL|alpha-beta intraepithelial T lymphocyte|alpha-beta intraepithelial T-cell|alpha-beta intraepithelial T-lymphocyte
neuromast support cell;
cranial placode;placode|ectodermal placode|ectodermal cranial placode|cranial placodes
dorsum;dorsal part of organism|back|back of body proper
principal gastric gland;gastric gland|glandula gastrica propria|acid gland|principal gland of fundus of stomach|main gastric gland|oxyntic gland|Wassman gland|gastric follicle
interrenal norepinephrine type cell;type n interrenal cell|interrenal noradrenaline type cell
protein localization to secretory granule;
steroid hormone secretion;
metanephric tubule;
ligament cell;
adhesion G-protein coupled receptor;fam:adhesion|subfamily B2 G-protein coupled receptor|secretin receptor-like G-protein coupled receptor
testis sex cord;testis cord|testis primary sex cords|primary sex cord|testis primitive sex cord
phalanx of pes;digital bone of pes|foot phalanx|phalanx of pes|pedal phalanx|phalanx of hind digit|phalanx of digitus pedis|phalanx of foot digit|toe phalanx|phalanx of toe|foot digit phalanx|digitus pedis phalanx|phalanx of digit of foot|bone of toe|phalanges of hind digit
Bergmann glial cell;Bergmann glial cell of cerebellum|Bergmann astrocyte
hindlimb bud;posterior limb bud|hind limb bud|limb bud - hindlimb|leg bud
tissue homeostasis;
excretory tube;
abdominal segment skin;skin of abdominal segment of trunk|abdominal segment of trunk skin
CD38-negative naive B cell;CD38-negative naive B lymphocyte|CD38-negative naive B-lymphocyte|CD38- naive B-cell|CD38-negative naive B-cell|CD38- naive B lymphocyte|CD38- naive B-lymphocyte|CD38- naive B cell
interleukin-2 production;
seminal vesicle glandular cell;seminal vesicle glandular cells
inner medullary collecting duct;inner renal medulla collecting duct|kidney inner medulla collecting duct|papillary collecting duct
Coelurosauria;
T3 B cell;T3 B-cell|T3 B lymphocyte|An1 B cell|T3 B-lymphocyte|transitional stage 3 B cell
cadherin-1;uvomorulin|CD324|ARC-1|CAM 120/80|E-cadherin|epithelial cadherin|CDH1|UVO|CDHE
endo-epithelium;endoepithelium|endoderm-derived epithelium
natural helper lymphocyte;
apical ectodermal ridge;apical epidermal ridge|AER|crista ectodermalis apicalis
mucosa;mucous membrane|mucosa of organ|mucosal region|mucosa of organ part|organ mucosa|region of mucosa|tunica mucosa
metanephros induced blastemal cells;induced blastemal cells|nephrogenic interstitium of nephrogenic zone|nephrogenic interstitium|cap mesenchyme of metanephros of urinary system|peripheral blastema
Osteoglossiformes;
brush border cell of the proximal tubule;
pancreatic A cell;alpha cell of iselt of Langerhans|pancreatic alpha cell
kidney blood vessel cell;
contractile fiber part;
pelvic region element;pelvis organ|pelvic element|pelvis region organ
nitrogen fixation;
chemical homeostasis;
paired limb/fin field;limb/fin field of lateral plate mesoderm|paired limb/fin field
organ of Corti supporting cell;
terminal Schwann cell;Schwann cell
electroreceptor organ;electric sense organ|electroreception organ
forkhead box protein P3;FOXP3|scurfin|IPEX
Cypriniphysae;Cypriniphysi
rectum smooth muscle tissue;rectal smooth muscle tissue|smooth muscle of rectum|rectum smooth muscle
detection of visible light;
Macaca mulatta;rhesus macaque|rhesus macaques|Rhesus monkey|rhesus monkeys
preBCR-positive large pre-B-II cell;
spinal cord;spinal medulla|cerebro-cerebellar fissure|cerebrocerebellar fissure|SpC|fissura cerebro-cerebellaris|medulla spinalis|fissura cerebrocerebellaris|spinal cord structure
abdominal segment connective tissue;abdominal segment of trunk portion of connective tissue|connective tissue of abdominal segment of trunk|abdominal segment of trunk textus connectivus|abdominal segment of trunk connective tissue|textus connectivus of abdominal segment of trunk|portion of connective tissue of abdominal segment of trunk
regulation of secretion by cell;
epithelial cell of viscerocranial mucosa;
optic eminence surface ectoderm;
pelvic appendage musculature;pelvic fin musculature
kidney loop of Henle cortical thick ascending limb epithelial cell;
abdominal segment bone;bone organ of abdominal segment of trunk|abdominal segment of trunk bone organ|abdominal segment of trunk bone|bone of abdominal segment of trunk
male gonocyte;testis primordial germ cell|male primordial germ cell
melanocyte;melanophore
arm connective tissue;
lamina propria of urinary bladder;urinary bladder lamina propria mucosa|urinary bladder lamina propria mucosae|lamina propria mucosa of urinary bladder|lamina propria mucosae of bladder|lamina propria mucosa of bladder|bladder lamina propria|bladder lamina propria mucosae|lamina propria mucosae of urinary bladder|urinary bladder lamina propria|lamina propria of bladder|bladder lamina propria mucosa
cortex of lymph node;lymph node cortex|cortex nodi lymphoidei
C-X-C chemokine receptor type 3;CXC-R3|CXCR3|CKR-L2|IP-10 receptor|interferon-inducible protein 10 receptor|CD183|chemokine receptor CXCR3|CXCR-3|G-protein coupled receptor 9|Cmkar3|GPR9
copper accumulating cell;cuprophilic cell
actin-based cell projection;
female organism;female human body|female
connecting stalk vasculature;connecting stalk blood vessels|vasculature of connecting stalk|connecting stalk blood vessel
cone retinal bipolar cell;
endoderm of midgut;midgut endoderm
Orycteropodidae;aardvark|aardvarks
placental amniotic mesenchymal stromal cell;
type I NK T cell;classical NK T cell|type I NK T lymphocyte|type I NK T-cell|type I NKT cell|type I NK T-lymphocyte|invariant NK T cell
transitional myocyte of atrial part of atrioventricular bundle;
lumen of vagina;vaginal lumen
estradiol secretion;
funiculus of neuraxis;
colon endothelial cell;colon endothelial cells|colonic endothelial cell
pedal digit skin;skin of digitus pedis|foot digit skin|skin of foot digit|digit of terminal segment of free lower limb skin|skin of digit of foot|digitus pedis skin|terminal segment of free lower limb digit skin|skin of digit of terminal segment of free lower limb|hind limb digit skin|skin of terminal segment of free lower limb digit|toe skin|skin of toe|digit of foot skin|foot digit skin
connective tissue type mast cell;TC mast cells|MC(TC)|MCTC
meninx of hindbrain;hindbrain meninges|hindbrain meninx|meninges of hindbrain|rhomencephalon meninges
conducting system of heart;cardiac conducting system|complexus stimulans cordis|cardiac impulse conducting system|systema conducente cordis|impulse conducting system|cardionector|cardiac conduction system|heart conduction system|central conduction system
Muscomorpha;Asilomorpha
physical object quality;
head paraxial mesoderm;cranial paraxial mesoderm|cephalic paraxial mesenchyme|head paraxial mesenchyme|cranial paraxial mesenchyme|cephalic paraxial mesoderm|somitomere|somitomeric mesoderm
skin sebaceous gland;sebaceous gland of skin|cutaneous sebaceous gland
UBERON_0005187;
duodenal mucosa;doudenal mucosa|mucosa of duodenum|duodenal mucous membrane|mucous membrane of duodenum|duodenum mucosa
myoendocrine cell;
smooth muscle cell of the brain vasculature;
protuberance;
brush cell of trachea;
blood vessel endothelial cell;cuboidal endothelial cell of vascular tree
epithelial sac;
submucosa of urinary bladder;submucosa of bladder|tela submucosa vesicae|tela submucosa vesicae urinariae|bladder submucosa|tela submucosa (vesica urinaria)|urinary bladder submucosa|submucous layer of urinary bladder
eomesodermin;EOMES|T-brain-2|TBR-2|T-box brain protein 2|TBR2
negative regulation of immune response;
Xenopus <subgenus>;Xenopus
nasal and broncial associated lymphoid tissue macrophage;
mesenchyme of fronto-nasal process;naso-frontal mesenchyme|frontonasal mesenchyme
pleural sac;
ventral part of telencephalon;subpallium|ventral telencephalon|area ventralis telencephali|subpallium
fetal thymocyte;
Tarsiidae;tarsiers
electrically responsive cell;
stem cell division;
mesenchyme from rhombencephalic neural crest;
abdomen connective tissue;abdomen textus connectivus|portion of connective tissue of abdomen|connective tissue of abdomen|textus connectivus of abdomen|abdomen portion of connective tissue
UBERON_0005267;
cornea;cornea of camera-type eye|tunica cornea|corneas
stratified squamous epithelial cell;
metanephric connecting tubule;
negative regulation of T cell proliferation;
macroconidium;
intestinal epithelial cell;
pancreas ventral primordium;ventral pancreas
type II cell of adrenal cortex;type II cortical cell of adrenal gland
left lung alveolar system;
cochlear ganglion;spiral ganglion|Corti's ganglion|cochlear part of vestibulocochlear ganglion|vestibulocochlear VIII ganglion cochlear component|ganglion of Corti|ganglion cochlearis|spiral ganglion of cochlea|ganglion spirale|ganglion spirale cochleae|vestibulocochlear ganglion cochlear component
mesentery;generic mesentery|mesentery (generic)
pelvic appendage bud;hindlimb/pelvic fin bud|pelvic fin bud|pelvic fin buds
cecum mucosa;organ mucosa of cecum|mucosa of caecum|caecum organ mucosa|caecum mucosa|mucosa of organ of intestinum crassum caecum|caecum mucous membrane|caecum mucosa of organ|cecum organ mucosa|mucosa of organ of caecum|organ mucosa of intestinum crassum caecum|organ mucosa of caecum|intestinum crassum caecum mucosa of organ|mucous membrane of caecum|mucosa of organ of cecum|intestinum crassum caecum mucosa|cecum mucous membrane|mucosa of cecum|cecum mucosa of organ|mucous membrane of intestinum crassum caecum|intestinum crassum caecum mucous membrane|intestinum crassum caecum organ mucosa|cecal mucosa|mucosa of intestinum crassum caecum|mucous membrane of cecum
basophil differentiation;
immature CD11c-negative plasmacytoid dendritic cell;
myoepithelial cell;basket epithelial cell|myoepitheliocyte
internal male genitalia;internal male genital organ|male internal genitalia|organa genitalia masculina interna
structure;
spinal cord radial glial cell;
optic eminence mesenchyme;
